Config_ID,Min_FoS,Action_Required,Timeline,Estimated_Cost,Risk_Level
Config_0000,1.8,Routine monitoring and periodic review,Long-term (6-12 months),"$5,000 - $15,000",LOW
Config_0001,0.83,Immediate detailed geotechnical analysis and design review,Immediate (0-7 days),"$50,000 - $200,000",VERY HIGH
Config_0002,1.12,"Detailed analysis within 30 days, consider design modifications",Short-term (1-4 weeks),"$20,000 - $75,000",HIGH
Config_0003,0.99,Immediate detailed geotechnical analysis and design review,Immediate (0-7 days),"$50,000 - $200,000",VERY HIGH
Config_0004,1.1,"Detailed analysis within 30 days, consider design modifications",Short-term (1-4 weeks),"$20,000 - $75,000",HIGH
Config_0005,1.55,Routine monitoring and periodic review,Long-term (6-12 months),"$5,000 - $15,000",LOW
Config_0006,1.5,Routine monitoring and periodic review,Long-term (6-12 months),"$5,000 - $15,000",LOW
Config_0007,1.36,Engineering evaluation within 60 days,Medium-term (1-3 months),"$10,000 - $30,000",MEDIUM
Config_0008,0.93,Immediate detailed geotechnical analysis and design review,Immediate (0-7 days),"$50,000 - $200,000",VERY HIGH
Config_0009,1.22,Engineering evaluation within 60 days,Medium-term (1-3 months),"$10,000 - $30,000",MEDIUM
